zGrid, Wx, Wy, Curve, curveWx, CurveWy 
670.0, 1.305257962094757, 1.9131460021142066, -1.9773147998256917, 1.4206211625331686, 1.9988695023094387
680.0, 1.274721632018101, 2.0148860393753703, -2.4483180825607294, 1.3613527398979333, 2.074029740622911
690.0, 1.2617767571835588, 2.1335307062684676, -2.929331242916324, 1.3060158346997497, 2.1529070122517617
700.0, 1.2461344943411632, 2.228924221105837, -3.4228079784338146, 1.2556706866696485, 2.2359599396669076
710.0, 1.2230162365016957, 2.3304142989534715, -3.931230820582378, 1.2116511114727186, 2.3236456779198185
720.0, 1.224212911523148, 2.4868737881002825, -4.457111134759029, 1.175557325788487, 2.4164118359613305
730.0, 1.2242014575621145, 2.5994175319798445, -5.002989120288624, 1.1492058933688143, 2.5146895048180875
740.0, 1.2355565856418502, 2.739839504030696, -5.571433810423864, 1.1345209639439795, 2.618887479074319
750.0, 1.255031544804302, 2.847787328007903, -6.165043072345288, 1.133364147329347, 2.7293877267249638
760.0, 1.2622006697178187, 2.9818403828618196, -6.786443607161275, 1.147326638045353, 2.8465421165915896
770.0, 1.29951965529075, 3.096929146183859, -7.438290949908038, 1.177536174840143, 2.9706703608723055
780.0, 1.330765161278904, 3.219952531176849, -8.123269469549655, 1.2245411684907783, 3.102059081139238
790.0, 1.390756656915678, 3.368419960596531, -8.844092368978007, 1.2883095300149194, 3.240961865574057
800.0, 1.441619088198714, 3.4990866415924224, -9.603501685012857, 1.3683322482239373, 3.3876001574185866
810.0, 1.5009169580608033, 3.6220949433248024, -10.404268288401765, 1.4637838599825905, 3.5421648009582074
820.0, 1.5874217730216589, 3.7778964093740472, -11.24919188382017, 1.573685183293625, 3.7048180710985066
830.0, 1.6699829126268433, 3.927640351013884, -12.141101009871337, 1.6970323085086862, 3.8756960234251676
840.0, 1.7799261876345502, 4.082057917398948, -13.082853039086359, 1.8328803409844903, 4.054911020411395
850.0, 1.9363666658005945, 4.274425243880241, -14.077334177924195, 1.9803870630749698, 4.242554312854333
860.0, 2.05543732531258, 4.4596748229133905, -15.127459466771622, 2.1388280958689982, 4.438698580715999
870.0, 2.2010305846083296, 4.626980427537276, -16.236172779943303, 2.3075948824753616, 4.64340036197287
880.0, 2.369195714183306, 4.8404412591582755, -17.406446825681638, 2.4861839436330126, 4.856702320223079
890.0, 2.5407746065042014, 5.022049827709787, -18.641283146156976, 2.674182786349535, 5.078635320729885
900.0, 2.70973518627023, 5.231334629368706, -19.94371211746746, 2.871255487712872, 5.3092202999299944
910.0, 2.9218471358136253, 5.415959675877644, -21.31679294963909, 3.0771294353434326, 5.548469925258321
920.0, 3.0942535354904828, 5.616368318644593, -22.763613686625682, 3.2915838032605595, 5.796390050756844
930.0, 3.3212508521482285, 5.865772175611811, -24.287291206308893, 3.5144398608621725, 6.052980979808694
940.0, 3.5019319959444504, 6.108216302926381, -25.89097122049828, 3.7455529837373582, 6.318238549982274
950.0, 3.7866520700750224, 6.426927666616509, -27.57782827493118, 3.98480614573139, 6.592155056883131
